recordId,individualCount,month,year,species,longitude,latitude
5002616364,1,1,2022,Silybum marianum,35.062784,32.806299
5002616680,1,1,2022,Anas platyrhynchos,35.1715,32.687061
5002616726,1,1,2022,Ardea cinerea,35.147959,32.665881
5002616799,1,1,2022,Anas crecca,35.12392,32.677364
5002616107,1,1,2022,Oxyura leucocephala,35.082167,32.772578
5002616126,1,1,2022,Tringa totanus,35.151858,32.652032
5002626352,1,1,2022,Tringa totanus,35.136437,32.69143
5002657371,1,3,2022,Francolinus francolinus,35.222118,32.641185
5002637096,1,3,2022,Cytisopsis pseudocytisus,35.051426,32.74249
5002655371,1,3,2022,Phoenicolacerta laevis,35.057762,32.743851
5002547556,1,1,2022,Felis chaus,35.149394,32.654709
5002547862,1,1,2022,Ardea alba,35.076725,32.749236
5002547979,1,1,2022,Aythya fuligula,35.085558,32.766666
5002548243,1,1,2022,Alectoris chukar,35.193546,32.63886
5002548294,1,1,2022,Anas platyrhynchos,35.136437,32.69143
5002539527,1,1,2022,Phalacrocorax carbo,35.13291,32.687839
5002557614,1,1,2022,Podiceps nigricollis,35.209223,32.637111
5002558210,1,3,2022,Potamogeton filiformis,35.038762,32.799597
5002674818,1,4,2022,Andropogon distachyos,35.102149,32.686844
5002674994,1,4,2022,Galium judaicum,35.098599,32.686038
5002685517,1,4,2022,Apus apus,35.145359,32.663165
5002567502,1,3,2022,Phoenicolacerta laevis,35.046875,32.751826
5002567521,1,3,2022,Stellagama stellio,35.058649,32.742643
5002589366,1,3,2022,Turdus merula,35.058638,32.742878
5002567542,1,3,2022,Corvus corax,35.071663,32.723271
5002589506,1,4,2022,Stellagama stellio,35.151261,32.651897
5002695251,1,5,2022,Francolinus francolinus,35.190914,32.638147
5002695716,1,5,2022,Francolinus francolinus,35.150563,32.660823
5002695873,1,5,2022,Lepus capensis,35.150455,32.699146
5002600065,1,4,2022,Polygonum equisetiforme,35.102126,32.687448
5002600068,1,4,2022,Podonosma orientalis,35.100562,32.685219
5002716732,1,5,2022,Bituminaria palaestina,35.025095,32.795322
5002716759,1,5,2022,Limbarda crithmoides,35.029845,32.801018
5002716764,1,5,2022,Rubus sanctus,35.027058,32.790528
5002706095,1,5,2022,Ononis alopecuroides,35.027028,32.794766
